"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"1","ASV_1","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"2","ASV_2","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"3","ASV_3","High","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"4","ASV_4","High-MH","None","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae",NA,NA
"5","ASV_5","High","113544","Eukaryota","Chordata","Actinopteri","Osteoglossiformes","Osteoglossidae","Arapaima","Arapaima gigas"
"6","ASV_6","High","113544","Eukaryota","Chordata","Actinopteri","Osteoglossiformes","Osteoglossidae","Arapaima","Arapaima gigas"
"7","ASV_7","High","9771","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera musculus"
"8","ASV_8","High-MH","None","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae",NA,NA
"9","ASV_9","High","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"10","ASV_10","Low","245709","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Ostraciidae","Tetrosomus","Tetrosomus concatenatus"
"11","ASV_11","High","221419","Eukaryota","Chordata","Actinopteri","Siluriformes","Pimelodidae","Phractocephalus","Phractocephalus hemioliopterus"
"12","ASV_12","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Suidae","Sus",NA
"13","ASV_13","Low","948067","Eukaryota","Chordata","Actinopteri","Perciformes","Zoarcidae","Ophthalmolycus","Ophthalmolycus amberensis"
"14","ASV_14","High-MH","None","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae",NA,NA
"15","ASV_15","High","446792","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Liparis","Liparis liparis"
"16","ASV_16","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena",NA
"17","ASV_17","High","47308","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Neogobius","Neogobius melanostomus"
"18","ASV_18","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"19","ASV_19","High","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"20","ASV_20","High-MH","None","Eukaryota","Chordata","Mammalia","Primates","Hominidae",NA,NA
"21","ASV_21","High-MH","None","Eukaryota","Chordata","Actinopteri",NA,NA,NA,NA
"22","ASV_22","High-MH","None","Eukaryota","Chordata","Mammalia","Rodentia","Cricetidae","Microtus",NA
"23","ASV_23","Low","27602","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"24","ASV_24","High-MH","None","Eukaryota","Chordata","Aves","Galliformes","Phasianidae","Lagopus",NA
"25","ASV_25","High","9773","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Megaptera","Megaptera novaeangliae"
"26","ASV_26","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"27","ASV_27","High","103959","Eukaryota","Chordata","Aves","Musophagiformes","Musophagidae","Musophaga","Musophaga violacea"
"28","ASV_28","High-MH","None","Eukaryota","Chordata","Actinopteri","Perciformes",NA,NA,NA
"29","ASV_29","High","39089","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca groenlandica"
"30","ASV_30","Low","39090","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca largha"
"31","ASV_31","Low","172535","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Parachromis","Parachromis managuensis"
"32","ASV_32","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"33","ASV_33","High-MH","None","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae",NA,NA
"34","ASV_34","High-MH","None","Eukaryota","Chordata","Mammalia","Primates","Hominidae",NA,NA
"35","ASV_35","High","9718","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae","Pusa","Pusa hispida"
"36","ASV_36","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"37","ASV_37","Low","3057562","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Australoheros","Australoheros sp."
"38","ASV_38","High-MH","None","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenidae","Eubalaena",NA
"39","ASV_39","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"40","ASV_40","Low","30960","Eukaryota","Chordata","Actinopteri","Osmeriformes","Salangidae","Mallotus","Mallotus villosus"
"41","ASV_41","Low","9767","Eukaryota","Chordata","Mammalia","Artiodactyla","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata"
"42","ASV_42","High-MH","None","Eukaryota","Chordata","Actinopteri","Siluriformes","Pimelodidae","Pseudoplatystoma",NA
"43","ASV_43","High-MH","None","Eukaryota","Chordata","Actinopteri","Perciformes","Liparidae","Careproctus",NA
"44","ASV_44","High-MH","None","Eukaryota","Chordata","Mammalia","Carnivora","Phocidae",NA,NA
"45","ASV_45","High","747773","Eukaryota","Chordata","Actinopteri","Siluriformes","Pimelodidae","Calophysus","Calophysus macropterus"
"46","ASV_46","High-MH","None","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
